item_id,item_name,,item_alternate_name,is_approved
100,Cumin Powder,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
101,Curry & Pepper Oats,,,
102,Curry Leaves,,,
103,Curry Powder,,,
104,Custard Powder Strawberry,,,
105,Dahi Bara Masala,,,
106,Daikon/Mooli,,,
107,Dal Fry Masala,,,
108,Deggi Mirch Powder,,,
109,Delite,,,
110,Desh Ki Chai - India,,,
111,Dhall Rice Powder,,,
112,Diet Mixture,,,
113,Digestive Black Seed Biscuit,,,
114,Digestive Orginal Biscuits,,,
115,Dosakai,,,
116,Dragon Fruit,,,
117,Drumstick Leaves,,,
118,Drumsticks,,,
119,Dry Coconut,,,
120,Dry Ginger Powder,,,
121,Dry Mango Powder,,,
122,Egg Curry,,,
123,Egg Kuruma Masala,,,
124,Eggplant American,,"Khari,Puffed pastry,Puffs",
125,Eggplant Chinese,,,
126,Eggplant Graffiti,,,
127,Eggplant Indian,,,
128,Eggplant Italian,,"Khari,Puffed pastry,Puffs",
129,Eggplant Long Green,,"Khari,Puffed pastry,Puffs",
130,English Cucumber,,,
131,English Peas,,,
132,Falsa,,"Khari,Puffed pastry,Puffs",
133,Family Mixture,,,
134,Fava Beans,,,
135,Fenugreek Leaves / Methi,,,
136,Fig Rolls,,,
137,Figs,,,
138,Fish Biryani Masala,,,
139,Fish Curry Masala,,,
140,Fish Fry Masala,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
141,"Foul Mudammas, Fava Beans",,,
142,Foxnut Cheese & Herbs,,,
143,Foxnut Home Style,,,
144,Foxnut Mint Chutney,,,
145,Foxnut Peri Peri,,"Cookies, Biscuits, Kukk_kal, Kukilu, Kukgalu, Bisketlu, Biskut, Little Hearts",
146,Fresh Coconut,,,
147,Fresh Date,,,
148,Fresh Mint,,,
149,Fresh Spinach,,,
150,Galic Peeled,,,
151,Garam Masala,,,
152,Garlic,,,
153,Garlic Rice Powder,,"Cookies, Biscuits, Marie, Digestive Biscuits, Kukilu, Kukgalu, Bisketlu, Meri",
154,Ginger,,"Cookies, Biscuits, Marie, Digestive Biscuits, Kukilu, Kukgalu, Bisketlu, Meri",
155,Ginger Tea Bags,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
156,Gobbles Double Choco Cake,,"Snacks, Namkeen, Mixture, Mix, Munchies, Bhungra, Fryums, Pipe Bhungra, Fookani, Masala Bhungra",
157,Gobbles Fruit Cake,,,
158,Gobbles Vanilla Flavoured Cake,,,
159,Goda Masala,,,
160,Gold,,,
161,Gold Elaichi,,,
162,Gongura Leaves,,,
163,Good Day Butter Cookies,,,
164,Good Day Cashew Cookies,,,
165,Good Day Chocochip Cookie,,,
166,Good Day Pista Almond Cookies,,"Cookies, Biscuits, Nankhatai, macaroons, Kukk_kal, Butter Cookies, Milk Biscuits, milk Cookies, Kukilu, Kukgalu, Bisketlu",
167,Gooseberry,,"Wafers, Chocolate, Cetilka_, Poralu, Billega_u, Cream Wafer, Caramel Wafers",
168,Grape Tomato Box,,,
169,Green Beans,,,
170,Green Cabbage,,,
171,Green Chilli,,,
172,Green Grapes,,,
173,Green Label Coffee,,"Milk Rusk, Tea Rusk, Bakery, Toast, Rus, Biscotti",
174,Green Mango,,,
175,Green Papaya,,,
176,Green Peas Peeled,,,
177,Groundnut,,,
178,Guava,,"Cookies, Coconut Biscuits, Kukk_kal, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
179,Guvar Beans,,"Cookies, Coconut Biscuits, Kukk_kal, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
180,Haleem Masala,,,
181,Happy Happy Choco Chip Cookies,,"Milk Rusk, Tea Rusk, Bakery, Toast, Rus, Biscotti,Cake rusk",
182,Hawaian Papaya,,"Digestive Cookies, Biscuits, Kukk_kal, Kukilu, Kukgalu, Bisketlu, Biskut, Marie, Zero Fat Cookies, Fatless, Nutrichoice",
183,Hazelnut Favoured Premium Cream Wafers,,,
184,Hazelnut Flavoured Premium Cream Wafers,,,
185,Hide & See American Style Cashew Butter Cookies,,"Snacks, Namkeen, Mixture, Mix, Munchies, Pani Puri, Gol Gappe, Puchka, Pani Patase, Paani patashi, Pakodi, Gup Chup, Phulki, Tikki, Spicy Water",
186,Hide & See American Style Cookies - Butter,,,
