item_id,item_name,,item_alternate_name,is_approved
399,Sugar Free Digestive,,"green, cabbage, patta, gobi, kobi, bandha, kopee, band, kosu, mutta, gose, muttaikose, gos, koora, pat, gobee, kosu, gadda, ele,Patta Gobi, Patara Gobi, Kobi, Bandhakobi",
400,Sugar Free Digestive Biscuit,,"serrano, chilly, chilli, pepper, mirch, lanka, mirchi, mirchan, milagai, mirapa, kayi, menasina, kayi, marcha,Green Chilli, Chilly, Chili, Hari Mirch, Mirchi, M",
401,Sugar Free Social Biscuits,,,
402,Sugar Free Vanialla Wafer,,"papaya, papaw,pawpaw,parangi",
403,Suji Rusk,,"green, peas, matar, mattar, vatana, katar, batani, kara, pattani, matara, kabli, chole,Matar, Mattar, Muttar, Haree Matar, Hara Matar",
404,Summer Squash,,"Peanuts, goober, pindar,monkey nut,earthnut ",
405,Sunrise,,"guar,cluster bean,gavar,gawar,guvar,beans",
406,Supreme Seedless Tamarind,,"Gajjar, carrot, carot, gajar, gaajar, gajjar, gajaru, gadda, gajjari, sheema, mullangi, manja, gujjara, gadda, gajaru, gajjari, kyaret, gajara, kerat,,Gajar, Gaajar, Pratiphalam, Carrot",
407,Sweet Orange,,"okra, bhindi, lady's finger, bhendi, vendakai, benda, kayi, dherasa, bendekai, Dherasa, Bindu",
408,Sweet Potato,,"saag, spinach, palak, green, leaf, leafy, keerai, paalak, cheera, kempu, baayi, basalae, palang, puin, pui, shaakh, bhajji, sag, saag, poi, palakura",
409,Tamarind,,"Kadoo,Kabocha,Japanese pumpkin",
410,Tandoori Chicken Masala,,"leaf cabbage,borecole",
411,Tandoori Masala,,"Bitter melon,karela,bitter gourd,",
412,Tangerins,,"German turnip,Turnip cabbage,Knol khol,turnip, german turnip",
413,Taro Leaf,,"German turnip,Turnip cabbage,Knol khol,turnip, german turnip",
414,Taro Root/ Arbi,,"lemon,lime,nimbehannu",
415,Tata Salt,,lettuce,
416,Tava Fry Masala,,Lime,
417,Tea & Coffee Cookie,,"long-podded cowpea, asparagus bean, snake bean,Chinese long bean",
418,Tea Biscuit,,"Toadstool,kukkurmutta, alumbi, kukur, muta, koon, khumb, guchhi, kumbi, kaalan, kaalaan, puttagodugulu, naaye, kode, anabi",
419,Tea Masala,,"Sarson Ka Saag,Sarhon Da Saag,Sareyan Da Saag ,saag",
420,Tiger Glucose Biscuits,,"okra, bhindi, lady's finger, bhendi, vendakai, benda, kayi, dherasa, bendekai, Dherasa, Bindu",
421,Tikhalal Chilli Powder,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
422,Tikka Masala,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
423,Tikoni Mathi,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
424,Tindora,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
425,Tomato,,"tomato, takkali, pazham, tametokai, ruwangum, tamatar, tambate, goore, hannu, tamota,Tamato, Tamatar, Tamota, Tomata",
426,Toor Dal,,"Adrak, ginger, ada, adu, shunti, adraka, inch, ala, allamu, sonthi",
427,T-Plus Masala,,"tomato, takkali, pazham, tametokai, ruwangum, tamatar, tambate, goore, hannu, tamota,Tamato, Tamatar, Tamota, Tomata",
428,Treat Buzzy Strawberry,,"Betel leaf,Paan ka patta,paan,leaf",
429,Treat Crazy Pineapple,,"Ajmud,Cilantro",
430,Treat Funky Choco,,"Pointed gourd,parwal,Pointed potato, Green potato,patola",
431,Treat Hazelnut Wafers,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
432,Treat Jim Jam Cookies,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
433,Treat Kool Vanilla,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
434,Treat O'som Orange,,"Peeled,Pomegranate",
435,Treat Vanilla Creme Wafers,,"potato, alu, aalu, aloo, aaloo, batata, urulai, urula, kizhangu, kilangu, bangaladumpa, kilanku, batakani, gadde, batate,Aloo, Alu, Dhompalu, Dhompa, Batata",
436,Turmeric Powder,,"potato, alu, aalu, aloo, aaloo, batata, urulai, urula, kizhangu, kilangu, bangaladumpa, kilanku, batakani, gadde, batate,bag,Aloo, Alu, Dhompalu, Dhompa, Batata",
437,Turnip,,"potato, alu, aalu, aloo, aaloo, batata, urulai, urula, kizhangu, kilangu, bangaladumpa, kilanku, batakani, gadde, batate,Aloo, Alu, Dhompalu, Dhompa, Batata",
438,Tuvar Lilva,,"potato, alu, aalu, aloo, aaloo, batata, urulai, urula, kizhangu, kilangu, bangaladumpa, kilanku, batakani, gadde, batate,Aloo, Alu, Dhompalu, Dhompa, Batata",
439,Udhayam Coffee,,"albino pumpkins,ghost pumpkin, and snowball pumpkins,kadoo,kado",
440,Urad Dal,,"Sunlight,Yellow,Pumpkin,kadoo,kado",
441,Urad Sabut,,"Radish,red,mooli,table radish",
442,Urad Split,,"Snake gourd,pointed gourd,turai,tori,ram",
443,Vathal Pulikulambu Powder,,"Purple yam,yam,ube,greater yam,kand,indian yam",
444,Vermicelli,,"green, cabbage, patta, gobi, kobi, bandha, kopee, band, kosu, mutta, gose, muttaikose, gos, koora, pat, gobee, kosu, gadda, ele,Patta Gobi, Patara Gobi, Kobi, Bandhakobi",
445,Vermicelli Popular,,,
446,Vermicelli Roasted,,"tomato, takkali, pazham, tametokai, ruwangum, tamatar, tambate, goore, hannu, tamota,Tamato, Tamatar, Tamota, Tomata",
447,Wafer Chocolate,,"lettuce, salad, patta, laipaat, paane, paana, keerai, uvarcheera, koora, soppu,Letus, Salaad, Letuce, Lettuce",
448,Wafers Cacao Cocoa,,"Surati papdi,papdi,vaal,val,beans",
449,Water Melon,,"Sarson Ka Saag,Sarhon Da Saag,Sareyan Da Saag ,saag,mustard saag",
450,White Pepper Powder,,"serrano, chilly, chilli, pepper, mirch, lanka, mirchi, mirchan, milagai, mirapa, kayi, menasina, kayi, marcha,Green Chilli, Chilly, Chili, Hari Mirch, Mirchi, M",
451,Whole White Mushrooms,,"Angled luffa,sinqua",
452,Yam Red,,"Serpent gourd,gourd,snake gourd",
453,Yam White,,"Chinese pea pods,pea,snow",
454,Yellow Onion,,"piyaz, kanda, kandha, pyaaz, dunglinu, dakkadi, eerulli, soppu, ulli, thandu, vaengayam, savala, nirulli, ullipayalu, yerra, gaddalu, ulligadde, erulli, neeruli, dungri, pyaj, sawalo, piyavu, piaja, shallot, periya, vengayam,Ullipaya, Pyaaj, Piyaja",
455,Yellow Papaya,,"Summer,Squash",
456,Young Coconut,,"potato, alu, aalu, aloo, aaloo, batata, urulai, urula, kizhangu, kilangu, bangaladumpa, kilanku, batakani, gadde, batate,Aloo, Alu, Dhompalu, Dhompa, Batata",
457,Zucchini,,"arbi, taro, dasheen, eddo, kalo, colocasia, arrow, root, kachalu, chamadumpa, seppenkilangu,Taro Dumpalu, Arbi, Taaro Jad, Arvi Leaf",
